function	function_usr	domain	provenance	current_source	current_header	original_source	original_header
p101_getopt	c:@F@p101_getopt	cli	POSIX	libraries/lib_cli/src/unistd.c	libraries/lib_cli/include/p101_cli/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_getopt_long	c:@F@p101_getopt_long	cli	common-Unix	libraries/lib_cli/src/getopt.c	libraries/lib_cli/include/p101_cli/p101_getopt.h	libraries/lib_unix/src/getopt.c	libraries/lib_unix/include/p101_unix/p101_getopt.h
p101_getopt_long_only	c:@F@p101_getopt_long_only	cli	common-Unix	libraries/lib_cli/src/getopt.c	libraries/lib_cli/include/p101_cli/p101_getopt.h	libraries/lib_unix/src/getopt.c	libraries/lib_unix/include/p101_unix/p101_getopt.h
p101_getsubopt	c:@F@p101_getsubopt	cli	POSIX	libraries/lib_cli/src/stdlib.c	libraries/lib_cli/include/p101_cli/p101_stdlib.h	libraries/lib_posix/src/stdlib.c	libraries/lib_posix/include/p101_posix/p101_stdlib.h
p101_dbm_clearerr	c:@F@p101_dbm_clearerr	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_dbm_close	c:@F@p101_dbm_close	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_dbm_delete	c:@F@p101_dbm_delete	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_dbm_error	c:@F@p101_dbm_error	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_dbm_fetch	c:@F@p101_dbm_fetch	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_dbm_firstkey	c:@F@p101_dbm_firstkey	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_dbm_nextkey	c:@F@p101_dbm_nextkey	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_dbm_open	c:@F@p101_dbm_open	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_dbm_store	c:@F@p101_dbm_store	database	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h
p101_closelog	c:@F@p101_closelog	diagnostics	XSI	libraries/lib_diagnostics/src/syslog.c	libraries/lib_diagnostics/include/p101_diagnostics/p101_syslog.h	libraries/lib_posix_xsi/src/syslog.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_syslog.h
p101_fmtmsg	c:@F@p101_fmtmsg	diagnostics	XSI	libraries/lib_diagnostics/src/fmtmsg.c	libraries/lib_diagnostics/include/p101_diagnostics/p101_fmtmsg.h	libraries/lib_posix_xsi/src/fmtmsg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_fmtmsg.h
p101_openlog	c:@F@p101_openlog	diagnostics	XSI	libraries/lib_diagnostics/src/syslog.c	libraries/lib_diagnostics/include/p101_diagnostics/p101_syslog.h	libraries/lib_posix_xsi/src/syslog.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_syslog.h
p101_setlogmask	c:@F@p101_setlogmask	diagnostics	XSI	libraries/lib_diagnostics/src/syslog.c	libraries/lib_diagnostics/include/p101_diagnostics/p101_syslog.h	libraries/lib_posix_xsi/src/syslog.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_syslog.h
