cohort	case_id	repository	url	revision	language	mode	selection	max_sources	license
good-c	curl	curl	https://github.com/curl/curl.git	527573490eb2564b3d7c9dd51d8bff963b5d6303	c	tree	lib;src	20	COPYING
good-c	libuv	libuv	https://github.com/libuv/libuv.git	c0bd247782f3a7fbb22499970c2c14ac05a46f26	c	tree	src	20	LICENSE
good-c	libevent	libevent	https://github.com/libevent/libevent.git	c96ddc2727a4ed0ca744500efff7230316b4118d	c	tree	.	20	LICENSE
good-c	jq	jq	https://github.com/jqlang/jq.git	603db3f57741d217ba651e61086b550a72148b83	c	tree	src	20	COPYING
good-c	cjson	cJSON	https://github.com/DaveGamble/cJSON.git	fb16e5cf358798aabb049655975cde8427101056	c	tree	.	20	LICENSE
good-c	zlib	zlib	https://github.com/madler/zlib.git	e3dc0a85b7032e98380dec011bc8f2c2ee0d8fca	c	tree	.	20	LICENSE
good-c	expat	libexpat	https://github.com/libexpat/libexpat.git	236c3f8f949209501b568032553c17577901c7ec	c	tree	expat/lib	20	COPYING
good-c	jansson	jansson	https://github.com/akheron/jansson.git	851a2145e3256f2e67e5dfe24b0e456bf198b741	c	tree	src	20	LICENSE
good-c	inih	inih	https://github.com/benhoyt/inih.git	577ae2dee1f0d9c2d11c7f10375c1715f3d6940c	c	tree	.	20	LICENSE.txt
good-c	sqlite	sqlite	https://github.com/sqlite/sqlite.git	db30b1cbc37979d5a580e14f944680a792b412dd	c	tree	src	20	LICENSE.md
good-cxx	fmt	fmt	https://github.com/fmtlib/fmt.git	e2243a6a7f4a8c09e9233a253f3d1f71e45d8cef	cxx	tree	src;test	20	LICENSE
good-cxx	spdlog	spdlog	https://github.com/gabime/spdlog.git	989d28dd768adef702538634857942db24e1058a	cxx	tree	example	20	LICENSE
good-cxx	catch2	Catch2	https://github.com/catchorg/Catch2.git	8b08d4d79514f45f7e4ce2a607ac9c94e920d1bb	cxx	tree	src	20	LICENSE.txt
good-cxx	nlohmann-json	json	https://github.com/nlohmann/json.git	eaedec859a7a8966fc24ba97137886fa587375a5	cxx	tree	tests	20	LICENSE.MIT
good-cxx	googletest	googletest	https://github.com/google/googletest.git	3940de91897160fea4815998e08d0fa3c2fb077e	cxx	tree	googletest/src;googlemock/src	20	LICENSE
good-cxx	cli11	CLI11	https://github.com/CLIUtils/CLI11.git	9cac680352e3a9a7a000e5fdebf8cd25b7a5fb34	cxx	tree	src;tests	20	LICENSE
good-cxx	magic-enum	magic_enum	https://github.com/Neargye/magic_enum.git	61173726dbdfb0ea2ce87f0c474e89dea2690a5a	cxx	tree	test	20	LICENSE
good-cxx	cxxopts	cxxopts	https://github.com/jarro2783/cxxopts.git	b6135315a54deb2b556219906eda8346f69bf703	cxx	tree	test	20	LICENSE
good-cxx	leveldb	leveldb	https://github.com/google/leveldb.git	7ee830d02b623e8ffe0b95d59a74db1e58da04c5	cxx	tree	db;table;util	20	LICENSE
good-cxx	re2	re2	https://github.com/google/re2.git	972a15cedd008d846f1a39b2e88ce48d7f166cbd	cxx	tree	re2	20	LICENSE
poor-c	cwe121-stack-overflow	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE121_Stack_Based_Buffer_Overflow/s01/CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01.c	1	LICENSE
poor-c	cwe122-heap-overflow	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE122_Heap_Based_Buffer_Overflow/s01/CWE122_Heap_Based_Buffer_Overflow__char_type_overrun_memcpy_01.c	1	LICENSE
poor-c	cwe124-buffer-underwrite	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE124_Buffer_Underwrite/s01/CWE124_Buffer_Underwrite__CWE839_connect_socket_01.c	1	LICENSE
poor-c	cwe126-buffer-overread	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE126_Buffer_Overread/s01/CWE126_Buffer_Overread__CWE129_connect_socket_01.c	1	LICENSE
poor-c	cwe134-format-string	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE134_Uncontrolled_Format_String/s01/CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01.c	1	LICENSE
poor-c	cwe190-integer-overflow	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE190_Integer_Overflow/s01/CWE190_Integer_Overflow__char_fscanf_add_01.c	1	LICENSE
poor-c	cwe369-divide-zero	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE369_Divide_by_Zero/s01/CWE369_Divide_by_Zero__float_connect_socket_01.c	1	LICENSE
poor-c	cwe415-double-free	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE415_Double_Free/s01/CWE415_Double_Free__malloc_free_char_01.c	1	LICENSE
poor-c	cwe416-use-after-free	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE416_Use_After_Free/CWE416_Use_After_Free__malloc_free_char_01.c	1	LICENSE
poor-c	cwe476-null-dereference	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	c	exact	testcases/CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__binary_if_01.c	1	LICENSE
poor-cxx	cwe401-memory-leak	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE401_Memory_Leak/s01/CWE401_Memory_Leak__char_calloc_33.cpp	1	LICENSE
poor-cxx	cwe427-search-path	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE427_Uncontrolled_Search_Path_Element/CWE427_Uncontrolled_Search_Path_Element__wchar_t_environment_33.cpp	1	LICENSE
poor-cxx	cwe457-uninitialized	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE457_Use_of_Uninitialized_Variable/s01/CWE457_Use_of_Uninitialized_Variable__char_pointer_43.cpp	1	LICENSE
poor-cxx	cwe590-invalid-free	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE590_Free_Memory_Not_on_Heap/s01/CWE590_Free_Memory_Not_on_Heap__delete_array_char_alloca_01.cpp	1	LICENSE
poor-cxx	cwe675-duplicate-operation	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE675_Duplicate_Operations_on_Resource/CWE675_Duplicate_Operations_on_Resource__fopen_33.cpp	1	LICENSE
poor-cxx	cwe762-mismatched-management	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE762_Mismatched_Memory_Management_Routines/s01/CWE762_Mismatched_Memory_Management_Routines__calloc_delete_01_bad.cpp	1	LICENSE
poor-cxx	cwe773-lost-descriptor	juliet	https://github.com/arichardson/juliet-test-suite-c.git	f88433e3443648a17671398797a04ea1f8e1a274	cxx	exact	testcases/CWE773_Missing_Reference_to_Active_File_Descriptor_or_Handle/CWE773_Missing_Reference_to_Active_File_Descriptor_or_Handle__fopen_33.cpp	1	LICENSE
